stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
962,1000346841,擋板;軸承;;SPHC;∅35.0x5.0T;;GM124;滾花,EA,0.0,8533.0,0.0,0.0,4348.0,0.0,4185.0,
963,1000346843,連接片;固定座;;SPHC;75.0x75.0x8.0T;;GM124;,EA,0.0,212.0,0.0,0.0,148.0,0.0,64.0,
964,1000346845,軸套;轉臂;;20#;;GM124;Φ50.8xΦ38.0x95.0L;,EA,0.0,424.0,0.0,0.0,308.0,0.0,116.0,
965,1000346851,連接管;擺臂;φ40xφ80x3.0x355;;;Q195;,EA,0.0,382.0,0.0,0.0,254.0,0.0,128.0,
966,1000346852,連接片;擺臂;右外;SPHC;T=6.0;;GM124;,EA,0.0,211.0,0.0,0.0,148.0,0.0,63.0,
967,1000346853,軸心;擺臂;;20#;;GM124;Φ25.0x218;,EA,0.0,250.0,0.0,0.0,154.0,0.0,96.0,
968,1000346854,連接片;擺臂;右內;;T=6.0;;GM124;,EA,0.0,211.0,0.0,0.0,154.0,0.0,57.0,
969,1000346855,套筒;;;20#;;GM124;Φ70.0x180.0L;轉軸;,EA,0.0,212.0,0.0,0.0,154.0,0.0,58.0,
970,1000346856,轉軸;;右;20CrMo;;GM124;Φ35.0x302;轉;,EA,0.0,224.0,0.0,0.0,154.0,0.0,70.0,
971,1000347009,鎖固片;;;SPHC;175.6x138.4x104.7x10.0t;;PL50,EA,0.0,500.0,0.0,0.0,104.0,0.0,396.0,
972,1000347033,支撐管;車架;口50x100x2.0Tx754.6L;前;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
973,1000347075,支撐管;車架;□50.0x50.0x2.0Tx368.6L;;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
974,1000347078,連接管;車架;φ50.8x2.0Tx446.7L;後;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
975,1000347079,包裝附件組;靠墊;;;;PL50B;,EA,0.0,129.0,0.0,0.0,104.0,0.0,25.0,122/123=điều chỉnh; chênh lệch=1.00
976,1000347087,支撐管;五通管;口50.0x100x2.0Tx246.5L;;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
