stt,ma_sp_xk,ten_sp_xk,dvt_sp,ma_nvl,ten_nvl,dvt_nvl,dinh_muc_thuc_te,ghi_chu,flag_review
1,MAS1213-00KM,MF;LS-LHR;AS2028K;;KM;NA;M,EA,1000535699,扶手組;;;;黑砂紋漆;DM515;;AS2028;SKD出越南特殊需求,EA,1.0,,
2,MAS1217-02,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,1000532473,拆卸連接組;;;冰銀金;AS1110;;SKD出越南特殊需求,EA,1.0,E15,
3,MAS1217-39,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,1000532490,拆卸連接組;;;霧黑;AS1110;;SKD出越南特殊需求,EA,1.0,E15,
4,MAS1218-39,MF;G3-MS50CK;AS1111K;KM;NA;M,EA,1000532511,拆卸連接組;;;霧黑;AS1111;;SKD出越南特殊需求,EA,1.0,,
5,MAS1218-39,MF;G3-MS50CK;AS1111K;KM;NA;M,EA,1000533112,護蓋組;;;;AS1111;;SKD出越南特殊需求,EA,1.0,,
6,MAS1219-02,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532515,拆卸連接組;;;冰銀金;AS1112;;SKD出越南特殊需求,EA,1.0,E15,
7,MAS1219-39,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532524,拆卸連接組;;;蕾絲白;AS1112;;SKD出越南特殊需求,EA,0.047619,E15,
8,MAS1219-39,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532525,拆卸連接組;;;霧黑;AS1112;;SKD出越南特殊需求,EA,0.952381,E15,
9,MAS1226-00US,MF;VS-FTHP;AS1853K;KM;NA;M,EA,1000532015,握把組;;;;AS1853;;SKD出越南特殊需求,EA,1.0,E15,
10,MAS1227-00US,MF;VS-FTIW;AS1855K;KM;NA;M,EA,1000532021,選擇片組;輔助;;黑平光;AS1855;;SKD出越南特殊需求,EA,1.0,,
11,MAS1230-39,MF;GFTDPST;AS2072K;KM;NA;M,EA,1000537661,基座組;;;霧黑(Black Matte);;;AS2125;SKD出越南特殊需,EA,1.0,,
12,MAS1230-39,MF;GFTDPST;AS2072K;KM;NA;M,EA,1000537668,墊子組;;;黑曜石黑;AS2072;;SKD出越南特殊需求,EA,1.0,,
13,MAS1231-256,MF;GFTEDG-CK;AS2068K;KM;NA;M,EA,1000537701,連接組;;;霧黑;AS2068;;SKD出越南特殊需求,EA,1.0,E15,
14,MAS1233-256,MF;GFTLDR;AS2073K;KM;NA;M,EA,1000537702,車架連接組;;;霧黑(Black Matte);;;AS2073;SKD出越南特,EA,1.0,,
15,MAS1239-256,MF;GFT-XLCK;AS2074K;KM;NA;M,EA,1000537703,車架連接組;;;霧黑(Black Matte);;;AS2074;SKD出越南特,EA,1.0,E15,
16,MAS1243-34,MF;MD-AP-MH;AS1847K;KM;NA;M,EA,1000537729,扶手組;;;;;;AS1847;SKD出越南特殊需求,EA,1.0,,
17,MAS1245-34,MF;MD-IFISTEP;AS1852K;KM;NA;M,EA,1000537736,腳踏組;;;霧黑(Black Matte);;;AS1852;SKD出越南特殊需,EA,1.0,E15,
18,MAS1246-34,MF;MD-IW;AS1846K;KM;NA;M,EA,1000533555,支撐組;;;霧黑(Black Matte);AS1846;;SKD出越南特殊需求,EA,1.0,,
19,MAS1247-34,MF;MD-S70-AP;AS1850K;KM;NA;M,EA,1000532005,支撐座組;;;霧黑;AS1850;;SKD出越南特殊需求,EA,1.0,E15,
20,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529909,車架組;;;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.999999,E15,
21,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529910,貼地桿組;;前;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.651162,,
22,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529913,貼地桿組;;後;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.651162,,
23,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530092,曲柄組;;右;;CB206E;;SKD出越南特殊需求,EA,0.960169,,
24,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530094,曲柄組;;左;;CB206E;;SKD出越南特殊需求,EA,0.960169,,
25,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530095,其他組;;;零件盒;CB206E;;SKD出越南特殊需求,EA,0.919811,,
26,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530115,儀表護蓋組;;後;;CB206E;;SKD出越南特殊需求,EA,0.988505,E15,
27,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529909,車架組;;;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.022727,E15,
28,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529910,貼地桿組;;前;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.014799,,
29,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529913,貼地桿組;;後;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.014799,,
30,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530090,車架組;;;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,E15,
31,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530091,貼地桿組;;後;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,E15,
32,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530092,曲柄組;;右;;CB206E;;SKD出越南特殊需求,EA,0.890546,,
33,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530093,貼地桿組;;前;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,,
34,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530094,曲柄組;;左;;CB206E;;SKD出越南特殊需求,EA,0.890546,,
35,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530095,其他組;;;零件盒;CB206E;;SKD出越南特殊需求,EA,0.894725,,
36,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530115,儀表護蓋組;;後;;CB206E;;SKD出越南特殊需求,EA,1.010972,E15,
37,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529908,車架組;;;PF紫色;EP719E;;SKD出越南特殊需求,EA,0.002906,E15,
38,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529911,搖臂組;;左;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.002906,E15,
39,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529912,搖臂組;;右;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.002886,,
40,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529930,車架組;;;石墨灰;EP719C;;SKD出越南特殊需求,EA,1.039604,E15,
41,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529931,護蓋組;;;連接臂;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
42,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529932,美國外部電源線組;;;;EP719C;;SKD出越南特殊需求,EA,0.880253,E15,
43,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529933,搖臂組;;左;霧黑;EP719C;;SKD出越南特殊需求,EA,1.03241,E15,
44,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529934,搖臂組;;右;霧黑;EP719C;;SKD出越南特殊需求,EA,1.03241,E15,
45,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529935,儀表護蓋組;;後;;EP719C;;SKD出越南特殊需求,EA,1.036743,E15,
46,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529936,其他組;;;零件包;EP719C;;SKD出越南特殊需求,EA,1.145349,E15,
47,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000530102,螺絲包;;;;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
48,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000531475,車架組;;;霧黑;EP719;;SKD出越南特殊需求,EA,0.000236,E15,
49,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000531479,車架組;;;蕾絲白;EP719D;;SKD出越南特殊需求,EA,0.006467,,
50,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529908,車架組;;;PF紫色;EP719E;;SKD出越南特殊需求,EA,0.924233,E15,
51,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529911,搖臂組;;左;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.924233,E15,
52,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529912,搖臂組;;右;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.917725,,
53,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529931,護蓋組;;;連接臂;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
54,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529932,美國外部電源線組;;;;EP719C;;SKD出越南特殊需求,EA,0.920475,E15,
55,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529933,搖臂組;;左;霧黑;EP719C;;SKD出越南特殊需求,EA,0.07845,E15,
56,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529934,搖臂組;;右;霧黑;EP719C;;SKD出越南特殊需求,EA,0.07845,E15,
57,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529935,儀表護蓋組;;後;;EP719C;;SKD出越南特殊需求,EA,1.100242,E15,
58,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000529936,其他組;;;零件包;EP719C;;SKD出越南特殊需求,EA,1.145349,E15,
59,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000530102,螺絲包;;;;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
60,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000531475,車架組;;;霧黑;EP719;;SKD出越南特殊需求,EA,0.074896,E15,
61,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,1000531479,車架組;;;蕾絲白;EP719D;;SKD出越南特殊需求,EA,0.000895,,
62,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529908,車架組;;;PF紫色;EP719E;;SKD出越南特殊需求,EA,0.357978,E15,
63,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529911,搖臂組;;左;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.357978,E15,
64,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529912,搖臂組;;右;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.355457,,
65,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529931,護蓋組;;;連接臂;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
66,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529932,美國外部電源線組;;;;EP719C;;SKD出越南特殊需求,EA,0.69455,E15,
67,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529933,搖臂組;;左;霧黑;EP719C;;SKD出越南特殊需求,EA,0.664762,E15,
68,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529934,搖臂組;;右;霧黑;EP719C;;SKD出越南特殊需求,EA,0.664762,E15,
69,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529935,儀表護蓋組;;後;;EP719C;;SKD出越南特殊需求,EA,1.102417,E15,
70,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000529936,其他組;;;零件包;EP719C;;SKD出越南特殊需求,EA,1.145349,E15,
71,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000530102,螺絲包;;;;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
72,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000531475,車架組;;;霧黑;EP719;;SKD出越南特殊需求,EA,0.634643,E15,
73,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,1000531479,車架組;;;蕾絲白;EP719D;;SKD出越南特殊需求,EA,0.007585,,
74,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,1000532114,車架組;;;石墨灰;FC210B;;SKD出越南特殊需求,EA,1.0,E15,
75,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,1000532116,座墊組;;;;FC210B;;SKD出越南特殊需求,EA,1.0,E15,
76,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,1000532118,其他組;;;零件盒;FC210B;;SKD出越南特殊需求,EA,1.0,E15,
77,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,1000532119,貼地桿組;;前;石墨灰;FC210B;;SKD出越南特殊需求,EA,1.0,E15,
78,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,1000532120,貼地桿組;;後;石墨灰;FC210B;;SKD出越南特殊需求,EA,1.0,E15,
79,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,0000096074,粉體塗料;黑砂銀 25KG/箱;,KG,0.047474,,
80,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,004426-00,螺絲;埋頭;M6x1.0Px12L;;十字;;鍍黑鋅;耐落;;,EA,2.892721,E15,
81,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,004696-AB,螺絲;平頭;M8x1.25Px20L;;六角承窩;;鍍鉻;;;,EA,12.098028,,
82,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,020465-AB,墊圈;平;Φ10.2xΦ25.0x2.0T;;鍍鉻;,EA,0.361959,E15,
83,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,029797-E,棧板;;3;1490x1300x125;;FW84,EA,0.200097,E15,
84,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,049043-AA,"管端塞;;;PVC;純黑色;口50.0x75.0;FW151;2.0t,3.0t",EA,1.962324,E15,
85,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,049256-AB,螺絲;圓柱;M10x1.5Px20L;;六角承窩;;鍍鉻;;G12.9;,EA,0.366273,,
86,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000224767,塑膠蓋;;;PP;;;;,EA,2.032382,,
87,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000304912,腳墊;調整座;;PA6;;深灰PANTONE BLACK 6C;FW201;,EA,3.111323,,
88,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000304951,橡膠套;腳墊;;TPE;;Pantone 446C;FW201-KM;,EA,3.11139,E15,
89,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000304992,"背墊;;PU,Vesicant;黑色;南亞;FW201-KM",EA,1.031897,,
90,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000304993,護蓋;背板;;ABS;深灰 Pantone 446C;;FW201;,EA,1.026882,,
91,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000304996,"頭墊;;PU,發泡;黑色;南亞;FW201-KM",EA,1.026958,,
92,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305004,塑膠蓋;背板;;ABS/PA746;深灰 Pantone 446C;;FW201,EA,1.025295,E15,
93,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305028,固定座;調整機構;ZG20;;ZG20,EA,2.038692,,
94,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305030,塑膠蓋;腳墊;下;TPE;深灰 Pantone 446C;;FW201-KM;,EA,2.85737,E15,
95,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305031,護套;掛棒;1;;深灰 Pantone 446C;PU/DOW  2103-65,EA,2.031644,E15,
96,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305041,護套;掛棒;2;;深灰 Pantone 446C;PU/DOW  2103-65,EA,2.03361,E15,
97,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305044,護套;掛棒;3;;深灰 Pantone 446C;PU/DOW  2103-65,EA,4.06668,E15,
98,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305047,護套;掛棒;;;深灰 Pantone 446C;PU/DOW  2103-65D,EA,2.051427,E15,
99,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305050,護套;掛棒;;;深灰 Pantone 446C;PU/DOW  2103-65D,EA,2.036839,E15,
100,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305125,護套;掛棒;;NBR橡膠;;PANTONE BLACK 6C;;FW201-KM,EA,0.458875,,
101,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305966,端蓋;掛棒;;;;PA6/ABS;Pantone446C/137C;FW201-,EA,0.091775,,
102,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305968,塑膠蓋;掛棒;;;;PA6/ABS;Pantone446C/137C;FW201,EA,0.091775,,
103,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305970,端蓋;掛棒;;;;PA6/ABS;Pantone446C/137C;FW201-,EA,0.091775,,
104,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305972,端蓋;掛棒;;;;PA6/ABS;Pantone446C/137C;FW201-,EA,0.091775,,
105,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000305974,端蓋;掛棒;;;;PA6/ABS;Pantone446C/137C;FW201-,EA,0.091775,,
106,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000362717,端塞;;;PVC;黑色/Black C;;GT01;M10 螺紋塞;市購品,EA,11.664674,,
107,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000363753,警告貼標;車架;;;PC;;英文;G3FW13;,EA,1.0,,NVL không có dữ liệu trên HQ
108,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000382335,包裝附件組;;;;B包;FW209;,EA,1.027351,E15,
109,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000392147,棧板;;;1140x1070x125;;FW97,EA,0.110553,E15,
110,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000392156,棧板;;;1400x670x140;;FW162,EA,0.000658,E15,
111,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000439697,導線束帶;;;W=4.8mm 400L;;白色;市購品,EA,20.15984,,
112,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000443689,說明書;;;;網址;喬山標準-Matrix專用,EA,1.431899,,
113,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000445332,鐵板;;SPHC;6.0T;;,EA,3.281909,E15,
114,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000447937,粉體塗料;202020;石墨灰,KG,0.031645,,
115,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000459047,護墊;頭墊用;PU;黑色;南亞;FW201,EA,1.028846,,
116,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000460020,管;長方型;STKR41;□50x75x2.5Tx5500;;,EA,0.254836,E15,
117,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000461274,管;圓型;STK41;Φ75.6x3.0Tx6000;;,EA,1.209114,E15,
118,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480129,連接套;連接;;20#;;FW505;φ19xφ11x92L;,EA,2.040784,E15,
119,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480134,固定片;腳墊調整;;20#;φ67.2x12.0L;;FW505;,EA,3.149222,E15,
120,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480135,固定片;背墊;;SPHC;176x50x6.0T;;FW505;,EA,0.593271,E15,
121,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480136,連接片;基座;;SPHC;300x105x76x6.0T;;FW505;,EA,1.020392,E15,
122,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480138,連接片;腳踏板;;SPHC;198x53x49x6.0T;;FW505;,EA,1.027333,E15,
123,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480143,支撐片;掛棒;;SPHC;104.3x80.51x10.0T;;FW505;,EA,3.425656,E15,
124,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480151,EN貼標;;;;消銀龍;;;FW505,EA,1.0,,NVL không có dữ liệu trên HQ
125,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480162,外紙箱;;;;1475x1325x390;FW505-KM,EA,1.033445,E15,
126,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480168,連接片;掛棒;;SPHC;154.8x80x5.0T;;FW505;,EA,0.183198,E15,
127,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480312,五金零件組;半成品;;;FW505-KM;;FW505-KM;,EA,1.052265,E15,
128,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480321,紙箱;;;1260x605x465;;FW506,EA,0.045114,E15,
129,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480335,連接管;;75.6x1320x3.0t;中段;;Q195;FW505,EA,0.033051,E15,
130,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480339,支撐管;車架-GM;Φ75.6x3.0tx188L;後;;Q195;FW505,EA,0.190747,E15,
131,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480342,支撐管;腳架;Φ75.6x3.0tx1453L;;;Q195;FW505,EA,0.007874,E15,
132,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480343,掛棒-加工;;;鍍鉻;Φ48.0x3.0tx203.2;FW505-KM;,EA,0.167967,,
133,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480345,掛棒-加工;;左;鍍鉻;Φ48.0x3.0tx152.4;FW505-KM;,EA,0.274758,,
134,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000480458,固定片;基座;右;SPHC;172x84x141.9x4.0T;;FW505;,EA,1.052265,E15,
135,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000482263,外紙箱;;;;B包;FW505,EA,0.54156,E15,
136,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485146,珍珠棉;;;;;FW506,EA,0.043473,E15,
137,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485147,包裝附件組;;;;FW506;挂棒,EA,0.045929,E15,
138,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485148,包裝附件組;;;;FW506;車架,EA,1.033445,E15,
139,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485149,珍珠棉;;;;;FW506,EA,0.958227,E15,
140,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485150,三合板;;;;;FW506,EA,1.033445,E15,
141,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000485674,打包帶;;;12063-33-3000M;PP;9.5kg/卷,KG,0.290989,E15,
142,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000486466,塑膠布;;;4860x1810x0.04t;;,EA,2.710909,E15,
143,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000488293,貼標;;掛棒;;;;;FW505,EA,0.091888,E15,
144,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000524796,塑膠袋組;;;550x350;PL03K-KM;,EA,1.022249,E15,
145,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000524797,塑膠袋組;;;1100x500;PL03K-KM;,EA,1.02704,E15,
146,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,1000541366,腳墊;腳踏管;下;PP;黑色/Black C;;FW510-KM;,EA,2.041336,E15,
147,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,K40000011,纏繞膜;;4卷/箱;(16公斤毛重);;,EA,0.001817,E15,
148,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,K60000201,焊絲(1.0) 1.0號,KG,0.000316,,
149,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,K60000431,塗料;銀灰色底漆;T-75#QF294S;-,KG,0.712857,,
150,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,K60000434,塗料;烏金黑面漆;T-75#QW258Z;,KG,0.591562,,
151,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,K60000900,焊絲;;1.0;;,EA,0.000486,,
152,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,0000096074,粉體塗料;黑砂銀 25KG/箱;,KG,0.759581,,
153,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,004426-00,螺絲;埋頭;M6x1.0Px12L;;十字;;鍍黑鋅;耐落;;,EA,2.703585,E15,
154,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,004696-AB,螺絲;平頭;M8x1.25Px20L;;六角承窩;;鍍鉻;;;,EA,12.098028,,
155,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,020465-AB,墊圈;平;Φ10.2xΦ25.0x2.0T;;鍍鉻;,EA,1.244441,E15,
156,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,029797-E,棧板;;3;1490x1300x125;;FW84,EA,0.181553,E15,
157,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,049043-AA,"管端塞;;;PVC;純黑色;口50.0x75.0;FW151;2.0t,3.0t",EA,2.047642,E15,
158,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,049256-AB,螺絲;圓柱;M10x1.5Px20L;;六角承窩;;鍍鉻;;G12.9;,EA,1.259272,,
159,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000224767,塑膠蓋;;;PP;;;;,EA,2.032382,,
160,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000304912,腳墊;調整座;;PA6;;深灰PANTONE BLACK 6C;FW201;,EA,3.377241,,
161,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000304951,橡膠套;腳墊;;TPE;;Pantone 446C;FW201-KM;,EA,3.377314,E15,
162,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000304992,"背墊;;PU,Vesicant;黑色;南亞;FW201-KM",EA,1.031897,,
163,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000304993,護蓋;背板;;ABS;深灰 Pantone 446C;;FW201;,EA,1.026882,,
164,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000304996,"頭墊;;PU,發泡;黑色;南亞;FW201-KM",EA,1.026958,,
165,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000305004,塑膠蓋;背板;;ABS/PA746;深灰 Pantone 446C;;FW201,EA,1.025295,E15,
166,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000305028,固定座;調整機構;ZG20;;ZG20,EA,2.038692,,
167,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,1000305030,塑膠蓋;腳墊;下;TPE;深灰 Pantone 446C;;FW201-KM;,EA,2.85737,E15,
